file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002110381,9.34E-05,0.652782845,0.004270685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.005006703,0.000117695,0.674672363,0.004556002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002463208,9.34E-05,0.65186573,0.007955873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.000222088,0.001056932,0.463261561,0.551182819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.005176638,7.32E-05,0.677032347,0.00136541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002306846,9.33E-05,0.653674253,0.00548481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002160705,9.54E-05,0.651155282,0.006567811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.000241405,0.001057765,0.461428347,0.563260394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002760678,7.38E-05,0.656931636,0.005917522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002377549,6.71E-05,0.666183114,0.004504385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.002031643,7.14E-05,0.652870155,0.006325219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.151144907,0.000921024,0.121316187,0.163937697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.003576482,0.000144832,0.683307926,0.005026986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.011591497,0.000149786,0.721423969,0.003642344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.004202138,0.000128173,0.664720558,0.006277681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.001894863,0.0011119,0.412229323,0.561257123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.004894634,0.000116046,0.701443812,0.00412077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,CD,0.004433905,0.00015966,0.645290493,0.008802534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.010945675,0.000791648,0.338386043,0.057470176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.027386619,0.000805768,0.260870964,0.059239611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.045877257,0.000875613,0.118873062,0.063802557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.010573579,0.000716868,0.245667469,0.034692118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.010680391,0.000824161,0.208812129,0.114396256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.012895131,0.00059835,0.377280719,0.042044686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.033325722,0.000590402,0.283342491,0.049665942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,3,PSA,0.020586229,0.000856152,0.199760888,0.073847929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
